Scientific Name,Species Name,Species Code,BC List,Provincial FRPA,COSEWIC,SARA,Lower_Chilako,Nechako,Francois_Lake
Acipenser transmontanus,White Sturgeon,WSG,No Status,NA,E/T (Nov 2012),NA,Yes,Yes,Yes
Carassius auratus,Goldfish,GC,Exotic,NA,NA,NA,Yes,Yes,NA
Catostomus catostomus,Longnose Sucker,LSU,Yellow,NA,NA,NA,Yes,Yes,Yes
Catostomus columbianus,Bridgelip Sucker,BSU,Yellow,NA,NA,NA,NA,Yes,Yes
Catostomus commersonii,White Sucker,WSU,Yellow,NA,NA,NA,Yes,Yes,Yes
Catostomus macrocheilus,Largescale Sucker,CSU,Yellow,NA,NA,NA,Yes,Yes,Yes
Catostomus platyrhynchus,Northern Mountain Sucker,MSU,Blue,NA,SC (Nov 2010),1-SC (May 2017),Yes,Yes,NA
Chrosomus neogaeus,Finescale Dace,FDC,Yellow,NA,NA,NA,NA,NA,Yes
Coregonus clupeaformis,Lake Whitefish,LW,Yellow,NA,NA,NA,Yes,Yes,Yes
Cottus asper,Prickly Sculpin,CAS,Yellow,NA,NA,NA,Yes,Yes,Yes
Cottus cognatus,Slimy Sculpin,CCG,Yellow,NA,NA,NA,Yes,Yes,Yes
Cottus ricei,Spoonhead Sculpin,CRI,Yellow,NA,NAR (May 1989),NA,NA,NA,Yes
Couesius plumbeus,Lake Chub,LKC,Yellow,NA,DD,NA,Yes,Yes,Yes
Cyprinus carpio,Carp,CP,Exotic,NA,NA,NA,NA,NA,Yes
Hybognathus hankinsoni,Brassy Minnow,BMC,No Status,NA,NA,NA,Yes,Yes,Yes
Lota lota,Burbot,BB,Yellow,NA,NA,NA,Yes,Yes,Yes
Micropterus salmoides,Largemouth Bass,LMB,Exotic,NA,NA,NA,NA,Yes,NA
Mylocheilus caurinus,Peamouth Chub,PCC,Yellow,NA,NA,NA,Yes,Yes,Yes
Oncorhynchus clarkii,Cutthroat Trout,CT,No Status,NA,NA,NA,NA,NA,Yes
Oncorhynchus gorbuscha,Pink Salmon,PK,Yellow,NA,NA,NA,Yes,Yes,NA
Oncorhynchus kisutch,Coho Salmon,CO,Yellow,NA,NA,NA,Yes,Yes,Yes
Oncorhynchus mykiss,Rainbow Trout,RB,Yellow,NA,NA,NA,Yes,Yes,Yes
Oncorhynchus nerka,Kokanee,KO,Yellow,NA,NA,NA,Yes,Yes,Yes
Oncorhynchus nerka,Sockeye Salmon,SK,Yellow,NA,NA,NA,Yes,Yes,Yes
Oncorhynchus tshawytscha,Chinook Salmon,CH,Yellow,NA,E/T/SC (Dec 2018),NA,Yes,Yes,Yes
Prosopium coulterii,Pygmy Whitefish,PW,Yellow,NA,NAR (Nov 2016),NA,Yes,Yes,NA
Prosopium williamsoni,Mountain Whitefish,MW,Yellow,NA,NA,NA,Yes,Yes,Yes
Ptychocheilus oregonensis,Northern Pikeminnow,NSC,Yellow,NA,NA,NA,Yes,Yes,Yes
Rhinichthys cataractae,Longnose Dace,LNC,Yellow,NA,NA,NA,Yes,Yes,Yes
Rhinichthys falcatus,Leopard Dace,LDC,Yellow,NA,NAR (May 1990),NA,Yes,Yes,Yes
Richardsonius balteatus,Redside Shiner,RSC,Yellow,NA,NA,NA,Yes,Yes,Yes
Salvelinus confluentus,Anadromous Bull Trout,ABT,Blue,Y (Jun 2006),SC (Nov 2012),NA,NA,Yes,NA
Salvelinus confluentus pop. 26,Bull Trout,BT,Blue,NA,NA,NA,Yes,Yes,Yes
Salvelinus fontinalis,Brook Trout,EB,Exotic,NA,NA,NA,Yes,Yes,Yes
Salvelinus malma,Dolly Varden,DV,Yellow,NA,NA,NA,Yes,Yes,Yes
Salvelinus namaycush,Lake Trout,LT,Yellow,NA,NA,NA,Yes,Yes,Yes
NA,All Salmon,AO,NA,NA,NA,NA,Yes,Yes,NA
NA,Chub (General),CBC,NA,NA,NA,NA,Yes,Yes,Yes
NA,Dace (General),DC,NA,NA,NA,NA,Yes,Yes,Yes
NA,Minnow (General),C,NA,NA,NA,NA,Yes,Yes,Yes
NA,Northern Pearl Dace,PDC,NA,NA,NA,NA,NA,NA,Yes
NA,Salmon (General),SA,NA,NA,NA,NA,Yes,Yes,NA
NA,Sculpin (General),CC,NA,NA,NA,NA,Yes,Yes,Yes
NA,Sucker (General),SU,NA,NA,NA,NA,Yes,Yes,Yes
NA,Whitefish (General),WF,NA,NA,NA,NA,Yes,Yes,Yes
